"","model","prime_type","prop_passive","se_passive","n","train","reanalysis","sd","giveup"
"229","wd","amv",0.0416666666666667,0.00890981494181148,504,"train1.0","uncertainty1","sdnormal-0.35-1.0","giveup1000"
"230","wd","urc",0.0456349206349206,0.00930511890734617,504,"train1.0","uncertainty1","sdnormal-0.35-1.0","giveup1000"
"231","wd","prog_rrc",0.0714285714285714,0.011483113248818,504,"train1.0","uncertainty1","sdnormal-0.35-1.0","giveup1000"
"232","wd","rrc",0.0654761904761905,0.0110294255762744,504,"train1.0","uncertainty1","sdnormal-0.35-1.0","giveup1000"
"233","wd2","amv",0.0555555555555556,0.0144582288570607,252,"train1.0","uncertainty1","sdnormal-0.35-1.0","giveup1000"
"234","wd2","urc",0.0436507936507936,0.0128963693375089,252,"train1.0","uncertainty1","sdnormal-0.35-1.0","giveup1000"
"235","wd2","prog_rrc",0.0555555555555556,0.0144582288570607,252,"train1.0","uncertainty1","sdnormal-0.35-1.0","giveup1000"
"236","wd2","rrc",0.0317460317460317,0.011066301673402,252,"train1.0","uncertainty1","sdnormal-0.35-1.0","giveup1000"
"237","ep","amv",0.00204918032786885,0.000835859528040386,2928,"train0.0","uncertainty10","sduniform-0.2-0.5","giveup100"
"238","ep","urc",0.0286885245901639,0.00308547481211486,2928,"train0.0","uncertainty10","sduniform-0.2-0.5","giveup100"
"239","ep","prog_rrc",0.0170765027322404,0.00239468262636123,2928,"train0.0","uncertainty10","sduniform-0.2-0.5","giveup100"
"240","ep","rrc",0.293374316939891,0.00841578038250244,2928,"train0.0","uncertainty10","sduniform-0.2-0.5","giveup100"
"241","wd","amv",0.0164383561643836,0.00192150939583968,4380,"train0.0","uncertainty10","sduniform-0.2-0.5","giveup100"
"242","wd","urc",0.0449771689497717,0.00313195463071682,4380,"train0.0","uncertainty10","sduniform-0.2-0.5","giveup100"
"243","wd","prog_rrc",0.23972602739726,0.00645141802366003,4380,"train0.0","uncertainty10","sduniform-0.2-0.5","giveup100"
"244","wd","rrc",0.337214611872146,0.00714417661554212,4380,"train0.0","uncertainty10","sduniform-0.2-0.5","giveup100"
"245","wd2","amv",0.0197495183044316,0.00215958558169112,4152,"train0.0","uncertainty10","sduniform-0.2-0.5","giveup100"
"246","wd2","urc",0.0404624277456647,0.00305830358779537,4152,"train0.0","uncertainty10","sduniform-0.2-0.5","giveup100"
"247","wd2","prog_rrc",0.236030828516378,0.00659091810897482,4152,"train0.0","uncertainty10","sduniform-0.2-0.5","giveup100"
"248","wd2","rrc",0.345134874759152,0.00737894014374271,4152,"train0.0","uncertainty10","sduniform-0.2-0.5","giveup100"
"249","ep","amv",0.00223499361430396,0.000843938391267694,3132,"train0.0","uncertainty10","sduniform-0.2-0.5","giveup1000"
"250","ep","urc",0.037037037037037,0.0033750590528945,3132,"train0.0","uncertainty10","sduniform-0.2-0.5","giveup1000"
"251","ep","prog_rrc",0.0194763729246488,0.0024696848552085,3132,"train0.0","uncertainty10","sduniform-0.2-0.5","giveup1000"
"252","ep","rrc",0.284802043422733,0.00806572014265709,3132,"train0.0","uncertainty10","sduniform-0.2-0.5","giveup1000"
"253","wd","amv",0.0120673952641166,0.00164774009579414,4392,"train0.0","uncertainty10","sduniform-0.2-0.5","giveup1000"
"254","wd","urc",0.0471311475409836,0.00319807654247039,4392,"train0.0","uncertainty10","sduniform-0.2-0.5","giveup1000"
"255","wd","prog_rrc",0.225865209471767,0.00631031798723224,4392,"train0.0","uncertainty10","sduniform-0.2-0.5","giveup1000"
"256","wd","rrc",0.324681238615665,0.00706644993064641,4392,"train0.0","uncertainty10","sduniform-0.2-0.5","giveup1000"
"257","wd2","amv",0.0174927113702624,0.00204367360480084,4116,"train0.0","uncertainty10","sduniform-0.2-0.5","giveup1000"
"258","wd2","urc",0.0410592808551992,0.00309326145325453,4116,"train0.0","uncertainty10","sduniform-0.2-0.5","giveup1000"
"259","wd2","prog_rrc",0.233722060252673,0.00659717636870763,4116,"train0.0","uncertainty10","sduniform-0.2-0.5","giveup1000"
"260","wd2","rrc",0.326287657920311,0.00730891069219523,4116,"train0.0","uncertainty10","sduniform-0.2-0.5","giveup1000"
"261","ep","amv",0.0709766706207987,0.0036109763578221,5058,"train0.0","uncertainty10","sdnormal-0.35-1.0","giveup100"
"262","ep","urc",0.099644128113879,0.00421198173802078,5058,"train0.0","uncertainty10","sdnormal-0.35-1.0","giveup100"
"263","ep","prog_rrc",0.0907473309608541,0.0040393617225051,5058,"train0.0","uncertainty10","sdnormal-0.35-1.0","giveup100"
"264","ep","rrc",0.279754843811783,0.00631222547631482,5058,"train0.0","uncertainty10","sdnormal-0.35-1.0","giveup100"
"265","wd","amv",0.0421455938697318,0.00265174687757282,5742,"train0.0","uncertainty10","sdnormal-0.35-1.0","giveup100"
"266","wd","urc",0.0822013235806339,0.00362509460819249,5742,"train0.0","uncertainty10","sdnormal-0.35-1.0","giveup100"
"267","wd","prog_rrc",0.182514803204458,0.005097945899849,5742,"train0.0","uncertainty10","sdnormal-0.35-1.0","giveup100"
"268","wd","rrc",0.236502960640892,0.00560826073240208,5742,"train0.0","uncertainty10","sdnormal-0.35-1.0","giveup100"
"269","wd2","amv",0.0287573467674223,0.00242157536457998,4764,"train0.0","uncertainty10","sdnormal-0.35-1.0","giveup100"
"270","wd2","urc",0.0594038623005877,0.00342506364602039,4764,"train0.0","uncertainty10","sdnormal-0.35-1.0","giveup100"
"271","wd2","prog_rrc",0.159319899244332,0.00530285930479465,4764,"train0.0","uncertainty10","sdnormal-0.35-1.0","giveup100"
"272","wd2","rrc",0.220822837951301,0.00601035065262824,4764,"train0.0","uncertainty10","sdnormal-0.35-1.0","giveup100"
"273","ep","amv",0.0713725490196078,0.00360532032246569,5100,"train0.0","uncertainty10","sdnormal-0.35-1.0","giveup1000"
"274","ep","urc",0.116666666666667,0.00449565730521289,5100,"train0.0","uncertainty10","sdnormal-0.35-1.0","giveup1000"
"275","ep","prog_rrc",0.101960784313725,0.00423761725908419,5100,"train0.0","uncertainty10","sdnormal-0.35-1.0","giveup1000"
"276","ep","rrc",0.272352941176471,0.00623424575102181,5100,"train0.0","uncertainty10","sdnormal-0.35-1.0","giveup1000"
"277","wd","amv",0.0425494350282486,0.00268214219230048,5664,"train0.0","uncertainty10","sdnormal-0.35-1.0","giveup1000"
"278","wd","urc",0.0843926553672316,0.00369388762309871,5664,"train0.0","uncertainty10","sdnormal-0.35-1.0","giveup1000"
"279","wd","prog_rrc",0.180790960451977,0.00511402024683944,5664,"train0.0","uncertainty10","sdnormal-0.35-1.0","giveup1000"
"280","wd","rrc",0.240289548022599,0.00567764468327434,5664,"train0.0","uncertainty10","sdnormal-0.35-1.0","giveup1000"
"281","wd2","amv",0.0280946345585129,0.00240190281581121,4734,"train0.0","uncertainty10","sdnormal-0.35-1.0","giveup1000"
"282","wd2","urc",0.0547106041402619,0.00330559692650793,4734,"train0.0","uncertainty10","sdnormal-0.35-1.0","giveup1000"
"283","wd2","prog_rrc",0.162864385297845,0.00536713747283537,4734,"train0.0","uncertainty10","sdnormal-0.35-1.0","giveup1000"
"284","wd2","rrc",0.208702999577524,0.00590698479543663,4734,"train0.0","uncertainty10","sdnormal-0.35-1.0","giveup1000"
"285","ep","amv",0.00177304964539007,0.00177304964539007,564,"train0.1","uncertainty10","sduniform-0.2-0.5","giveup100"
"286","ep","urc",0.00354609929078014,0.0025052429820148,564,"train0.1","uncertainty10","sduniform-0.2-0.5","giveup100"
"287","ep","prog_rrc",0.00177304964539007,0.00177304964539007,564,"train0.1","uncertainty10","sduniform-0.2-0.5","giveup100"
"288","ep","rrc",0.173758865248227,0.0159688151910916,564,"train0.1","uncertainty10","sduniform-0.2-0.5","giveup100"
"289","wd","amv",0.00995670995670996,0.00206620331487304,2310,"train0.1","uncertainty10","sduniform-0.2-0.5","giveup100"
"290","wd","urc",0.0177489177489178,0.00274780070075343,2310,"train0.1","uncertainty10","sduniform-0.2-0.5","giveup100"
"291","wd","prog_rrc",0.0974025974025974,0.00617049979696963,2310,"train0.1","uncertainty10","sduniform-0.2-0.5","giveup100"
"292","wd","rrc",0.138528138528139,0.00718915059346729,2310,"train0.1","uncertainty10","sduniform-0.2-0.5","giveup100"
"293","wd2","amv",0.00845070422535211,0.00198388171810152,2130,"train0.1","uncertainty10","sduniform-0.2-0.5","giveup100"
"294","wd2","urc",0.0211267605633803,0.00311667740422844,2130,"train0.1","uncertainty10","sduniform-0.2-0.5","giveup100"
"295","wd2","prog_rrc",0.112206572769953,0.00684033357094184,2130,"train0.1","uncertainty10","sduniform-0.2-0.5","giveup100"
"296","wd2","rrc",0.127230046948357,0.00722199038952657,2130,"train0.1","uncertainty10","sduniform-0.2-0.5","giveup100"
"297","ep","amv",0.00171821305841924,0.00171821305841924,582,"train0.1","uncertainty10","sduniform-0.2-0.5","giveup1000"
"298","ep","urc",0.00515463917525773,0.00297090564094845,582,"train0.1","uncertainty10","sduniform-0.2-0.5","giveup1000"
"299","ep","prog_rrc",0.00343642611683849,0.00242782815631492,582,"train0.1","uncertainty10","sduniform-0.2-0.5","giveup1000"
"300","ep","rrc",0.18213058419244,0.0160119917676911,582,"train0.1","uncertainty10","sduniform-0.2-0.5","giveup1000"
"301","wd","amv",0.00789229340761374,0.00190703651110983,2154,"train0.1","uncertainty10","sduniform-0.2-0.5","giveup1000"
"302","wd","urc",0.0194986072423398,0.00297991508200072,2154,"train0.1","uncertainty10","sduniform-0.2-0.5","giveup1000"
"303","wd","prog_rrc",0.118384401114206,0.00696249439738695,2154,"train0.1","uncertainty10","sduniform-0.2-0.5","giveup1000"
"304","wd","rrc",0.127205199628598,0.00718102588440259,2154,"train0.1","uncertainty10","sduniform-0.2-0.5","giveup1000"
"305","wd2","amv",0.0048030739673391,0.00151557736412955,2082,"train0.1","uncertainty10","sduniform-0.2-0.5","giveup1000"
"306","wd2","urc",0.026416906820365,0.00351553522476777,2082,"train0.1","uncertainty10","sduniform-0.2-0.5","giveup1000"
"307","wd2","prog_rrc",0.0960614793467819,0.00645963593862919,2082,"train0.1","uncertainty10","sduniform-0.2-0.5","giveup1000"
"308","wd2","rrc",0.122958693563881,0.0071986921913102,2082,"train0.1","uncertainty10","sduniform-0.2-0.5","giveup1000"
"309","ep","amv",0.0515222482435597,0.00436823694615598,2562,"train0.1","uncertainty10","sdnormal-0.35-1.0","giveup100"
"310","ep","urc",0.0636221701795472,0.00482308606316161,2562,"train0.1","uncertainty10","sdnormal-0.35-1.0","giveup100"
"311","ep","prog_rrc",0.0597189695550351,0.00468252603520898,2562,"train0.1","uncertainty10","sdnormal-0.35-1.0","giveup100"
"312","ep","rrc",0.165105386416862,0.00733654627750152,2562,"train0.1","uncertainty10","sdnormal-0.35-1.0","giveup100"
"313","wd","amv",0.0290360046457607,0.00286155093227625,3444,"train0.1","uncertainty10","sdnormal-0.35-1.0","giveup100"
"314","wd","urc",0.0450058072009292,0.00353318299627059,3444,"train0.1","uncertainty10","sdnormal-0.35-1.0","giveup100"
"315","wd","prog_rrc",0.0969802555168409,0.00504338095123926,3444,"train0.1","uncertainty10","sdnormal-0.35-1.0","giveup100"
"316","wd","rrc",0.115563298490128,0.00544847335526681,3444,"train0.1","uncertainty10","sdnormal-0.35-1.0","giveup100"
"317","wd2","amv",0.0115629984051037,0.00213517051320442,2508,"train0.1","uncertainty10","sdnormal-0.35-1.0","giveup100"
"318","wd2","urc",0.0462519936204147,0.00419473841349128,2508,"train0.1","uncertainty10","sdnormal-0.35-1.0","giveup100"
"319","wd2","prog_rrc",0.076555023923445,0.00531025275275814,2508,"train0.1","uncertainty10","sdnormal-0.35-1.0","giveup100"
"320","wd2","rrc",0.0976874003189793,0.00592953476960246,2508,"train0.1","uncertainty10","sdnormal-0.35-1.0","giveup100"
"321","ep","amv",0.0463378176382661,0.00406446300874467,2676,"train0.1","uncertainty10","sdnormal-0.35-1.0","giveup1000"
"322","ep","urc",0.0639013452914798,0.00472883235716944,2676,"train0.1","uncertainty10","sdnormal-0.35-1.0","giveup1000"
"323","ep","prog_rrc",0.0631539611360239,0.00470297334181016,2676,"train0.1","uncertainty10","sdnormal-0.35-1.0","giveup1000"
"324","ep","rrc",0.162556053811659,0.00713374456155201,2676,"train0.1","uncertainty10","sdnormal-0.35-1.0","giveup1000"
"325","wd","amv",0.0251103752759382,0.00259938230891909,3624,"train0.1","uncertainty10","sdnormal-0.35-1.0","giveup1000"
"326","wd","urc",0.048841059602649,0.00358084002204324,3624,"train0.1","uncertainty10","sdnormal-0.35-1.0","giveup1000"
"327","wd","prog_rrc",0.091887417218543,0.00479914312250726,3624,"train0.1","uncertainty10","sdnormal-0.35-1.0","giveup1000"
"328","wd","rrc",0.11037527593819,0.00520601189659094,3624,"train0.1","uncertainty10","sdnormal-0.35-1.0","giveup1000"
"329","wd2","amv",0.0116086235489221,0.00218150509957454,2412,"train0.1","uncertainty10","sdnormal-0.35-1.0","giveup1000"
"330","wd2","urc",0.041044776119403,0.00404044784368834,2412,"train0.1","uncertainty10","sdnormal-0.35-1.0","giveup1000"
"331","wd2","prog_rrc",0.0779436152570481,0.00545972046273381,2412,"train0.1","uncertainty10","sdnormal-0.35-1.0","giveup1000"
"332","wd2","rrc",0.101990049751244,0.00616340733729199,2412,"train0.1","uncertainty10","sdnormal-0.35-1.0","giveup1000"
"333","ep","amv",0.056,0.0084011570186693,750,"train1.0","uncertainty10","sdnormal-0.35-1.0","giveup100"
"334","ep","urc",0.0426666666666667,0.00738473710336014,750,"train1.0","uncertainty10","sdnormal-0.35-1.0","giveup100"
"335","ep","prog_rrc",0.0586666666666667,0.00858670448097775,750,"train1.0","uncertainty10","sdnormal-0.35-1.0","giveup100"
"336","ep","rrc",0.110666666666667,0.0114630395521915,750,"train1.0","uncertainty10","sdnormal-0.35-1.0","giveup100"
"337","wd","amv",0.0261044176706827,0.00715212355356557,498,"train1.0","uncertainty10","sdnormal-0.35-1.0","giveup100"
"338","wd","urc",0.0461847389558233,0.00941462846113316,498,"train1.0","uncertainty10","sdnormal-0.35-1.0","giveup100"
"339","wd","prog_rrc",0.0562248995983936,0.0103328567248202,498,"train1.0","uncertainty10","sdnormal-0.35-1.0","giveup100"
"340","wd","rrc",0.0622489959839357,0.0108375658692196,498,"train1.0","uncertainty10","sdnormal-0.35-1.0","giveup100"
"341","wd2","amv",0.037037037037037,0.0128796386856288,216,"train1.0","uncertainty10","sdnormal-0.35-1.0","giveup100"
"342","wd2","urc",0.0324074074074074,0.0120767251360542,216,"train1.0","uncertainty10","sdnormal-0.35-1.0","giveup100"
"343","wd2","prog_rrc",0.0324074074074074,0.0120767251360542,216,"train1.0","uncertainty10","sdnormal-0.35-1.0","giveup100"
"344","wd2","rrc",0.0740740740740741,0.0178608452655708,216,"train1.0","uncertainty10","sdnormal-0.35-1.0","giveup100"
"345","ep","amv",0.0674603174603175,0.00912818377940306,756,"train1.0","uncertainty10","sdnormal-0.35-1.0","giveup1000"
"346","ep","urc",0.0595238095238095,0.00861084528110199,756,"train1.0","uncertainty10","sdnormal-0.35-1.0","giveup1000"
"347","ep","prog_rrc",0.0529100529100529,0.008146878426378,756,"train1.0","uncertainty10","sdnormal-0.35-1.0","giveup1000"
"348","ep","rrc",0.107142857142857,0.0112563898148446,756,"train1.0","uncertainty10","sdnormal-0.35-1.0","giveup1000"
"349","wd","amv",0.014957264957265,0.00561688056534586,468,"train1.0","uncertainty10","sdnormal-0.35-1.0","giveup1000"
"350","wd","urc",0.0683760683760684,0.011679222720747,468,"train1.0","uncertainty10","sdnormal-0.35-1.0","giveup1000"
"351","wd","prog_rrc",0.0512820512820513,0.0102068753855265,468,"train1.0","uncertainty10","sdnormal-0.35-1.0","giveup1000"
"352","wd","rrc",0.0641025641025641,0.011334265700431,468,"train1.0","uncertainty10","sdnormal-0.35-1.0","giveup1000"
"353","wd2","amv",0.0172413793103448,0.00989660832595443,174,"train1.0","uncertainty10","sdnormal-0.35-1.0","giveup1000"
"354","wd2","urc",0.0747126436781609,0.0199899779156481,174,"train1.0","uncertainty10","sdnormal-0.35-1.0","giveup1000"
"355","wd2","prog_rrc",0.0344827586206897,0.0138726032619536,174,"train1.0","uncertainty10","sdnormal-0.35-1.0","giveup1000"
"356","wd2","rrc",0.0574712643678161,0.0176949615865044,174,"train1.0","uncertainty10","sdnormal-0.35-1.0","giveup1000"
